# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
271000 200
134 9.345 1.05712 18.9069 1.06006 97.2969 1.0305 93.3375
135 9.415 1.03986 19.3763 1.06135 99.6947 1.03438 95.6739
136 9.485 1.03645 19.8511 1.06025 102.126 1.03546 98.0477
137 9.555 1.04424 20.3366 1.06042 104.593 1.04043 100.468
138 9.625 1.0378 20.8262 1.05 107.072 1.04146 102.927
139 9.695 1.04088 21.3244 1.05236 109.593 1.03989 105.417
140 9.765 1.03091 21.825 1.05281 112.152 1.03621 107.935
141 9.835 1.02453 22.3296 1.04958 114.739 1.03819 110.494
142 9.905 1.03324 22.8458 1.04951 117.364 1.04027 113.095
143 9.975 1.02511 23.3652 1.03988 120.001 1.03846 115.728
144 10.045 1.01379 23.8861 1.03914 122.673 1.04129 118.405
145 10.115 1.01696 24.4159 1.03503 125.372 1.03827 121.112
146 10.185 1.01004 24.9495 1.03392 128.106 1.03896 123.858
147 10.255 1.00022 25.4851 1.02899 130.864 1.03476 126.631
148 10.325 1.00192 26.029 1.02833 133.658 1.0309 129.431
149 10.395 0.984906 26.571 1.01211 136.445 1.02815 132.262
150 10.465 0.973029 27.1136 1.00361 139.246 1.0265 135.127
151 10.535 0.977234 27.6659 1.00561 142.091 1.02458 138.024
152 10.605 0.979672 28.227 0.994067 144.94 1.01874 140.944
153 10.675 0.988028 28.8003 0.991374 147.819 1.01752 143.899
154 10.745 0.984211 29.3789 0.989266 150.73 1.01635 146.889
155 10.815 0.98951 29.9683 0.982996 153.661 1.016 149.917
156 10.885 0.986736 30.5636 0.981971 156.626 1.00958 152.965
157 10.955 0.986275 31.1664 0.983294 159.633 1.00628 156.042
158 11.025 0.979768 31.7728 0.977107 162.66 1.00281 159.148
159 11.095 0.986811 32.3914 0.975516 165.721 1.00522 162.301
160 11.165 0.964709 33.0038 0.976976 168.825 1.00009 165.478
161 11.235 0.984743 33.6367 0.979385 171.976 0.998222 168.689
162 11.305 0.976857 34.2725 0.977109 175.158 0.990857 171.916
163 11.375 0.98017 34.9183 0.977774 178.383 0.992148 175.187
164 11.445 0.96198 35.56 0.974342 181.636 0.991996 178.498
165 11.515 0.966019 36.2122 0.974836 184.93 0.989825 181.842
166 11.585 0.982093 36.8834 0.970253 188.249 0.98776 185.22
167 11.655 0.98979 37.5681 0.965589 191.592 0.985763 188.632
168 11.725 1.00455 38.2713 0.962086 194.963 0.984658 192.082
169 11.795 1.00127 38.9807 0.965955 198.388 0.982883 195.566
170 11.865 0.990663 39.6908 0.967531 201.859 0.982517 199.09
171 11.935 0.996778 40.4139 0.965115 205.363 0.982753 202.658
172 12.005 0.995407 41.1444 0.970201 208.927 0.979211 206.254
173 12.075 1.00391 41.8898 0.966331 212.518 0.977956 209.887
174 12.145 0.992774 42.6354 0.972041 216.172 0.979951 213.57
175 12.215 0.985535 43.3842 0.976618 219.886 0.979922 217.296
176 12.285 0.983548 44.1401 0.980703 223.658 0.978477 221.059
177 12.355 0.979562 44.9015 0.97722 227.46 0.981886 224.878
178 12.425 0.996846 45.6852 0.984976 231.335 0.984625 228.751
179 12.495 1.00271 46.4824 0.984534 235.253 0.984326 232.667
180 12.565 1.00227 47.2882 0.984696 239.215 0.984745 236.629
181 12.635 1.00342 48.1039 0.985101 243.223 0.989126 240.653
182 12.705 1.00658 48.9313 0.992696 247.307 0.98922 244.721
183 12.775 1.01074 49.7712 0.992238 251.434 0.993258 248.852
184 12.845 1.01537 50.6243 0.997384 255.628 0.99202 253.023
185 12.915 1.00828 51.4807 0.993722 259.853 0.992147 257.24
186 12.985 1.01838 52.3551 0.996808 264.136 0.995459 261.517
187 13.055 1.02007 53.2404 0.99988 268.48 1.00005 265.86
188 13.125 1.02956 54.1436 0.999278 272.867 1.00003 270.249
189 13.195 1.03093 55.0576 1.00774 277.339 1.00007 274.686
190 13.265 1.02977 55.9803 1.0066 281.853 1.00428 279.189
191 13.335 1.02289 56.9065 1.00888 286.425 1.00494 283.743
192 13.405 1.01598 57.8362 1.00377 291.022 1.00429 288.341
193 13.475 1.0403 58.7981 1.00732 295.684 1.00449 292.989
194 13.545 1.03321 59.7633 1.01553 300.432 1.00661 297.695
195 13.615 1.03558 60.7409 1.01073 305.207 1.01047 302.468
196 13.685 1.02298 61.7164 1.01439 310.049 1.011 307.292
197 13.755 1.03165 62.7104 1.01606 314.949 1.00988 312.161
198 13.825 1.02591 63.7089 1.01545 319.895 1.01226 317.091
199 13.895 1.02972 64.7213 1.01168 324.873 1.01149 322.067
200 13.965 1.02593 65.7401 1.0152 329.919 1.00695 327.071
273000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
